,query,state
419,"""Nd0.75Th0.25""",Empty showing fixed spelling results
420,"""Ni0.25Pd0.75""",Results for exact spelling
421,"""Ni0.25Pt0.75""",Results for exact spelling
422,"""Ni0.25Rh0.75""",Empty showing fixed spelling results
423,"""Ni0.5Pd0.5""",Results for exact spelling
424,"""Ni0.5Pt0.5""",Results for exact spelling
425,"""Ni0.5Rh0.5""",Fully empty
426,"""Ni0.75Pd0.25""",Results for exact spelling
427,"""Ni0.75Pt0.25""",Results for exact spelling
428,"""Ni0.75Rh0.25""",Empty showing fixed spelling results
429,"""Ni0.75Zn0.25""",Results for exact spelling
430,"""Ni0.85Tc0.15""",Empty showing fixed spelling results
431,"""Ni0.85V0.15""",Results for exact spelling
432,"""Ni0.9Mo0.1""",Results for exact spelling
433,"""Ni0.9V0.1""",Results for exact spelling
434,"""Ni0.9W0.1""",Results for exact spelling
435,"""Ni0.9Zn0.1""",Results for exact spelling
436,"""Os0.1Pt0.9""",Empty showing fixed spelling results
437,"""Os0.1Rh0.9""",Empty showing fixed spelling results
438,"""Os0.25Rh0.75""",Empty showing fixed spelling results
439,"""Os0.2Pt0.8""",Empty showing fixed spelling results
440,"""Os0.2Rh0.8""",Results for exact spelling
441,"""Os0.45Rh0.55""",Empty showing fixed spelling results
442,"""Os0.4Rh0.6""",Empty showing fixed spelling results
443,"""Pb0.25Tl0.75""",Empty showing fixed spelling results
444,"""Pb0.5Tl0.5""",Results for exact spelling
445,"""Pb0.75Tl0.25""",Results for exact spelling
446,"""Pd0.25Pt0.75""",Results for exact spelling
447,"""Pd0.25Rh0.75""",Results for exact spelling
448,"""Pd0.5Pt0.5""",Results for exact spelling
449,"""Pd0.5Rh0.5""",Results for exact spelling
450,"""Pd0.6V0.4""",Results for exact spelling
451,"""Pd0.75Pt0.25""",Results for exact spelling
452,"""Pd0.75Rh0.25""",Results for exact spelling
453,"""Pd0.8V0.2""",Results for exact spelling
454,"""Pr0.25Th0.75""",Empty showing fixed spelling results
455,"""Pr0.5Th0.5""",Empty showing fixed spelling results
456,"""Pr0.75Th0.25""",Empty showing fixed spelling results
457,"""Pt0.25Rh0.75""",Results for exact spelling
458,"""Pt0.5Rh0.5""",Results for exact spelling
459,"""Pt0.5Ru0.5""",Results for exact spelling
460,"""Pt0.6V0.4""",Fully empty
461,"""Pt0.75Rh0.25""",Results for exact spelling
462,"""Pt0.75Ru0.25""",Results for exact spelling
463,"""Pt0.7Re0.3""",Results for exact spelling
464,"""Pt0.85Zn0.15""",Empty showing fixed spelling results
465,"""Pt0.85Zr0.15""",Empty showing fixed spelling results
466,"""Pt0.8Re0.2""",Results for exact spelling
467,"""Pt0.8V0.2""",Results for exact spelling
468,"""Pt0.9Re0.1""",Empty showing fixed spelling results
469,"""Rh0.7Ru0.3""",Results for exact spelling
470,"""Rh0.85Ru0.15""",Results for exact spelling
471,"""Rh0.9Ta0.1""",Empty showing fixed spelling results
472,"""Rh0.9V0.1""",Empty showing fixed spelling results
473,"""Rh0.9W0.1""",Fully empty
474,"""Sc0.1Th0.9""",Fully empty
475,"""Sc0.3Th0.7""",Empty showing fixed spelling results
476,"""Sc0.5Th0.5""",Empty showing fixed spelling results
477,"""Tb0.25Th0.75""",Empty showing fixed spelling results
478,"""Tb0.5Th0.5""",Empty showing fixed spelling results
479,"""Al0.03Mg0.97""",Empty showing fixed spelling results
480,"""Al0.03Sc0.97""",Empty showing fixed spelling results
481,"""Al0.1Hf0.9""",Empty showing fixed spelling results
482,"""Al0.1Ti0.9""",Results for exact spelling
483,"""Cd0.25Mg0.75""",Results for exact spelling
484,"""Cd0.5Mg0.5""",Results for exact spelling
485,"""Cd0.75Mg0.25""",Results for exact spelling
486,"""Co0.25Os0.75""",Empty showing fixed spelling results
487,"""Co0.25Re0.75""",Empty showing fixed spelling results
488,"""Co0.25Ru0.75""",Results for exact spelling
489,"""Co0.5Os0.5""",Empty showing fixed spelling results
490,"""Co0.5Re0.5""",Results for exact spelling
491,"""Co0.5Ru0.5""",Results for exact spelling
492,"""Co0.75Os0.25""",Empty showing fixed spelling results
493,"""Co0.75Re0.25""",Empty showing fixed spelling results
494,"""Co0.75Ru0.25""",Results for exact spelling
495,"""Co0.7Ir0.3""",Results for exact spelling
496,"""Co0.8Rh0.2""",Results for exact spelling
497,"""Co1Fe1Re1Ru1""",Results for exact spelling
498,"""Cr0.05Re0.95""",Empty showing fixed spelling results
499,"""Cr0.1Ir0.9""",Empty showing fixed spelling results
500,"""Cr0.25Ir0.75""",Empty showing fixed spelling results
501,"""Cr0.25Os0.75""",Empty showing fixed spelling results
502,"""Cr0.2Ru0.8""",Empty showing fixed spelling results
503,"""Cr0.3Rh0.7""",Empty showing fixed spelling results
504,"""Cr0.45Os0.55""",Empty showing fixed spelling results
505,"""Cr0.4Ir0.6""",Empty showing fixed spelling results
506,"""Cr0.4Rh0.6""",Empty showing fixed spelling results
507,"""Cr0.4Ru0.6""",Results for exact spelling
508,"""Cr0.5Ir0.5""",Results for exact spelling
509,"""Cr0.5Rh0.5""",Results for exact spelling
510,"""Dy1Gd1Ho1Tb1Y1""",Results for exact spelling
511,"""Dy1Gd1Lu1Tb1Tm1""",Results for exact spelling
512,"""Dy1Gd1Lu1Tb1Y1""",Results for exact spelling
513,"""Fe0.2Os0.8""",Empty showing fixed spelling results
514,"""Fe0.2Ru0.8""",Results for exact spelling
515,"""Fe0.5Os0.5""",Results for exact spelling
516,"""Fe0.5Ru0.5""",Results for exact spelling
517,"""Fe0.6Os0.4""",Fully empty
518,"""Fe0.6Ru0.4""",Results for exact spelling
519,"""Gd1Ho1La1Tb1Y1""",Results for exact spelling
520,"""Hf0.25Sc0.75""",Empty showing fixed spelling results
521,"""Hf0.25Ti0.75""",Results for exact spelling
522,"""Hf0.25Zr0.75""",Results for exact spelling
523,"""Hf0.5Sc0.5""",Results for exact spelling
524,"""Hf0.5Ti0.5""",Results for exact spelling
525,"""Hf0.5Zr0.5""",Results for exact spelling
526,"""Hf0.75Sc0.25""",Empty showing fixed spelling results
527,"""Hf0.75Ti0.25""",Results for exact spelling
528,"""Hf0.75Zr0.25""",Results for exact spelling
529,"""Ir0.25Tc0.75""",Empty showing fixed spelling results
530,"""Ir0.2Ru0.8""",Results for exact spelling
531,"""Ir0.4Ru0.6""",Results for exact spelling
532,"""Ir0.5Mo0.5""",Results for exact spelling
533,"""Ir0.5Tc0.5""",Empty showing fixed spelling results
534,"""Ir0.5W0.5""",Results for exact spelling
535,"""Ir0.6W0.4""",Empty showing fixed spelling results
536,"""Ir0.7W0.3""",Empty showing fixed spelling results
537,"""Li0.1Mg0.9""",Results for exact spelling
538,"""Mo0.07Re0.93""",Empty showing fixed spelling results
539,"""Mo0.1Rh0.9""",Results for exact spelling
540,"""Mo0.1Ru0.9""",Empty showing fixed spelling results
541,"""Mo0.1Ru0.9""",Empty showing fixed spelling results
542,"""Mo0.25Rh0.75""",Empty showing fixed spelling results
543,"""Mo0.25Ru0.75""",Results for exact spelling
544,"""Mo0.2Os0.8""",Empty showing fixed spelling results
545,"""Mo0.2Os0.8""",Empty showing fixed spelling results
546,"""Mo0.2Rh0.8""",Empty showing fixed spelling results
547,"""Mo0.2Ru0.8""",Results for exact spelling
548,"""Mo0.35Os0.65""",Empty showing fixed spelling results
549,"""Mo0.35Ru0.65""",Empty showing fixed spelling results
550,"""Mo0.3Os0.7""",Empty showing fixed spelling results
551,"""Mo0.3Rh0.7""",Empty showing fixed spelling results
552,"""Mo0.3Ru0.7""",Results for exact spelling
553,"""Mo0.4Rh0.6""",Results for exact spelling
554,"""Mo0.5Pd0.5""",Results for exact spelling
555,"""Mo0.5Rh0.5""",Results for exact spelling
556,"""Mo0.5Rh0.5""",Results for exact spelling
557,"""Mo1Pd1Rh1Ru1""",Results for exact spelling
558,"""Nb0.1Os0.9""",Empty showing fixed spelling results
559,"""Nb0.2Os0.8""",Results for exact spelling
560,"""Ni0.1Os0.9""",Empty showing fixed spelling results
561,"""Ni0.1Ru0.9""",Empty showing fixed spelling results
562,"""Ni0.1Tc0.9""",Empty showing fixed spelling results
563,"""Ni0.25Os0.75""",Empty showing fixed spelling results
564,"""Ni0.25Tc0.75""",Empty showing fixed spelling results
565,"""Ni0.2Ru0.8""",Fully empty
566,"""Ni0.3Ru0.7""",Empty showing fixed spelling results
567,"""Ni0.4Tc0.6""",Empty showing fixed spelling results
568,"""Os0.25Re0.75""",Empty showing fixed spelling results
569,"""Os0.25Ru0.75""",Empty showing fixed spelling results
570,"""Os0.5Re0.5""",Results for exact spelling
571,"""Os0.5Ru0.5""",Results for exact spelling
572,"""Os0.75Re0.25""",Empty showing fixed spelling results
573,"""Os0.75Ru0.25""",Empty showing fixed spelling results
574,"""Os0.7V0.3""",Empty showing fixed spelling results
575,"""Os0.7W0.3""",Empty showing fixed spelling results
576,"""Os0.85Rh0.15""",Empty showing fixed spelling results
577,"""Os0.8Ta0.2""",Empty showing fixed spelling results
578,"""Os0.8V0.2""",Empty showing fixed spelling results
579,"""Os0.8W0.2""",Results for exact spelling
580,"""Os0.9Ti0.1""",Empty showing fixed spelling results
581,"""Os0.9V0.1""",Empty showing fixed spelling results
582,"""Os0.9W0.1""",Results for exact spelling
583,"""Pt0.15Ru0.85""",Empty showing fixed spelling results
584,"""Pt0.1Re0.9""",Empty showing fixed spelling results
585,"""Pt0.25Re0.75""",Results for exact spelling
586,"""Pt0.35Re0.65""",Results for exact spelling
587,"""Pu0.1Sc0.9""",Empty showing fixed spelling results
588,"""Pu0.25Sc0.75""",Empty showing fixed spelling results
589,"""Re0.25Ru0.75""",Empty showing fixed spelling results
590,"""Re0.25Tc0.75""",Empty showing fixed spelling results
591,"""Re0.5Ru0.5""",Results for exact spelling
592,"""Re0.5Tc0.5""",Results for exact spelling
593,"""Re0.75Ru0.25""",Results for exact spelling
594,"""Re0.75Tc0.25""",Empty showing fixed spelling results
595,"""Re0.9W0.1""",Results for exact spelling
596,"""Rh0.25Ru0.75""",Results for exact spelling
597,"""Rh0.25Tc0.75""",Results for exact spelling
598,"""Rh0.5Ru0.5""",Results for exact spelling
599,"""Rh0.5Tc0.5""",Empty showing fixed spelling results
600,"""Rh0.6W0.4""",Empty showing fixed spelling results
601,"""Ru0.7W0.3""",Empty showing fixed spelling results
602,"""Ru0.85Ta0.15""",Empty showing fixed spelling results
603,"""Ru0.8V0.2""",Empty showing fixed spelling results
604,"""Ru0.8W0.2""",Empty showing fixed spelling results
605,"""Ru0.9V0.1""",Empty showing fixed spelling results
606,"""Ru0.9W0.1""",Empty showing fixed spelling results
607,"""Sc0.25Y0.75""",Results for exact spelling
608,"""Sc0.25Zr0.75""",Results for exact spelling
609,"""Sc0.5Y0.5""",Results for exact spelling
610,"""Sc0.5Zr0.5""",Results for exact spelling
611,"""Sc0.75Y0.25""",Results for exact spelling
612,"""Sc0.75Zr0.25""",Results for exact spelling
613,"""Sm0.25Y0.75""",Empty showing fixed spelling results
614,"""Sm0.5Y0.5""",Results for exact spelling
615,"""Sm0.75Y0.25""",Results for exact spelling
616,"""Tb0.25Tm0.75""",Empty showing fixed spelling results
617,"""Tb0.25Y0.75""",Empty showing fixed spelling results
618,"""Tb0.5Tm0.5""",Results for exact spelling
619,"""Tb0.5Y0.5""",Results for exact spelling
620,"""Tb0.75Tm0.25""",Results for exact spelling
621,"""Tb0.75Y0.25""",Results for exact spelling
622,"""Ti0.25Zr0.75""",Results for exact spelling
623,"""Ti0.5Zr0.5""",Results for exact spelling
624,"""Ti0.75Zr0.25""",Results for exact spelling
625,"""AgAs""",Results for exact spelling
626,"""AgBe""",Results for exact spelling
627,"""AgCo""",Results for exact spelling
628,"""AgCr""",Results for exact spelling
629,"""AgCu""",Results for exact spelling
630,"""AgFe""",Results for exact spelling
631,"""AgGe""",Results for exact spelling
632,"""AgMn""",Results for exact spelling
633,"""AgMo""",Results for exact spelling
634,"""AgNi""",Results for exact spelling
635,"""AgOs""",Showing results for exact spelling despite spelling suggestion
636,"""AgPb""",Results for exact spelling
637,"""AgPt""",Results for exact spelling
638,"""AgRe""",Results for exact spelling
639,"""AgRh""",Results for exact spelling
640,"""AgSb""",Results for exact spelling
641,"""AgSi""",Results for exact spelling
642,"""AgSn""",Results for exact spelling
643,"""AgW""",Results for exact spelling
644,"""Al0.25Co1Cr1Cu0.75Fe1Ni1""",Results for exact spelling
645,"""Al0.25Co1Cr1Cu0.75Fe1Ni1Ti0.5""",Results for exact spelling
646,"""Al0.25Cr1Cu1Fe1Ni2""",Results for exact spelling
647,"""Al0.2Co1.5Cr1Fe1Ni1.5Ti0.5""",Results for exact spelling
648,"""Al0.2Co1.5Cr1Fe1Ni1.5Ti1""",Results for exact spelling
649,"""Al0.3Co1Cr1Cu1Fe1Ni1""",Results for exact spelling
650,"""Al0.3Co1Cr1Fe1Mo0.1Ni1""",Results for exact spelling
651,"""Al0.3Co1Cr1Fe1Ni1Ti0.1""",Results for exact spelling
652,"""Al0.3Co1Cr2Fe1Ni1""",Results for exact spelling
653,"""Al0.3Cr1Fe1.5Mn1Ni0.5""",Results for exact spelling
654,"""Al0.3Cr1Fe1Ni1V1""",Results for exact spelling
655,"""Al0.4Co1Cr1Fe1Mn1Ni1V1""",Results for exact spelling
656,"""Al0.55V0.45""",Empty showing fixed spelling results
657,"""Al0.5B0.2Co1Cr1Cu1Fe1Ni1""",Results for exact spelling
658,"""Al0.5B0.6Co1Cr1Cu1Fe1Ni1""",Results for exact spelling
659,"""Al0.5B1Co1Cr1Cu1Fe1Ni1""",Results for exact spelling
660,"""Al0.5Ce1Co1Cu0.5Fe1Ni1Ti0.5""",Results for exact spelling
661,"""Al0.5Co1Cr1Cu0.5Fe1Ni1""",Results for exact spelling
662,"""Al0.5Co1Cr1Cu1Fe1Ni1""",Results for exact spelling
663,"""Al0.5Co1Cr1Cu1Fe1Ni1Ti0.8""",Results for exact spelling
664,"""Al0.5Co1Cr1Cu1Fe1Ni1V0.2""",Results for exact spelling
665,"""Al0.5Co1Cr1Cu1Fe1Ni1V0.4""",Results for exact spelling
666,"""Al0.5Co1Cr1Cu1Fe1Ni1V0.6""",Results for exact spelling
667,"""Al0.5Co1Cr1Cu1Fe1Ni1V0.8""",Results for exact spelling
668,"""Al0.5Co1Cr1Cu1Fe1Ni1V1""",Results for exact spelling
669,"""Al0.5Co1Cr1Cu1Fe1Ni1V1.2""",Results for exact spelling
670,"""Al0.5Co1Cr1Cu1Fe1Ni1V1.4""",Results for exact spelling
671,"""Al0.5Co1Cr1Cu1Fe1Ni1V1.6""",Results for exact spelling
672,"""Al0.5Co1Cr1Cu1Fe1Ni1V1.8""",Results for exact spelling
673,"""Al0.5Co1Cr1Cu1Fe1Ni1V2""",Results for exact spelling
674,"""Al0.5Co1Cr1Fe1Ni1""",Results for exact spelling
675,"""Al0.5Co1Cr1Fe1Ni1Ti1""",Results for exact spelling
676,"""Al0.5Cr1Cu1Fe1Ni2""",Results for exact spelling
677,"""Al0.5Cr1Fe1.5Mn1Ni0.5""",Results for exact spelling
678,"""Al0.5Cr1Fe1Ni1Ti1V1""",Results for exact spelling
679,"""Al0.5Cr1Fe1Ni1V1""",Results for exact spelling
680,"""Al0.5Nb1Ta0.8Ti1.5V0.2Zr1""",Results for exact spelling
681,"""Al0.5Nb1Ti1V1Zr1""",Results for exact spelling
682,"""Al0.75Co1Cr1Cu0.25Fe1Ni1""",Results for exact spelling
683,"""Al0.75Co1Cr1Cu0.25Fe1Ni1Ti0.5""",Results for exact spelling
684,"""Al0.75Co1Cr1Fe1Ni1""",Results for exact spelling
685,"""Al0.875Co1Cr1Fe1Ni1""",Results for exact spelling
686,"""Al0.8Co1Cr1Cu1Fe1Ni1""",Results for exact spelling
687,"""Al0.8Cr1Cu1Fe1Ni2""",Results for exact spelling
688,"""Al0.8Cr1Fe1.5Mn1Ni0.5""",Results for exact spelling
689,"""Al1.17Co1Cr1Fe1Ni1""",Results for exact spelling
690,"""Al1.25Co1Cr1Fe1Ni1""",Results for exact spelling
691,"""Al1.3Co1Cr1Cu1Fe1Ni1""",Results for exact spelling
692,"""Al1.3Cr1Cu1Fe1Ni2""",Results for exact spelling
693,"""Al1.5Co1Cr1Cu1Fe1Ni1""",Results for exact spelling
694,"""Al1.5Co1Cr1Fe1Ni1""",Results for exact spelling
695,"""Al1.5Co1Cr1Fe1Ni1Ti1""",Results for exact spelling
696,"""Al1.5Cr1Cu1Fe1Ni2""",Results for exact spelling
697,"""Al1.5Cr1Fe1.5Mn1Ni0.5""",Results for exact spelling
698,"""Al1.5Cr1Fe1Mn1Ti1""",Results for exact spelling
699,"""Al1.5Nb1Ti1V1Zr1""",Results for exact spelling
700,"""Al1.8Co1Cr1Cu1Fe1Ni1""",Results for exact spelling
701,"""Al1Au1Co1Cr1Cu1Ni1""",Results for exact spelling
702,"""Al1Co0.5Cr0.5Fe0.5Mn1Ni1V0.5""",Results for exact spelling
703,"""Al1Co0.5Cr0.5Fe0.5Mn1Ni1V1""",Results for exact spelling
704,"""Al1Co0.5Cr1Cu1Fe1Ni1""",Results for exact spelling
705,"""Al1Co0.5Cr1Fe1Mo0.5Ni1""",Results for exact spelling
706,"""Al1Co1.5Cr1Fe1Mo0.5Ni1""",Results for exact spelling
707,"""Al1Co1.5Cr1Fe1Ni1Ti0.5""",Results for exact spelling
708,"""Al1Co1.5Cr2Fe1.5Mn2Ni1V1""",Results for exact spelling
709,"""Al1Co1Cr0.5Cu1Fe1Ni1""",Results for exact spelling
710,"""Al1Co1Cr0.5Fe1Mo0.5Ni1""",Results for exact spelling
711,"""Al1Co1Cr1.5Fe1Mo0.5Ni1""",Results for exact spelling
712,"""Al1Co1Cr1Cu0.25Fe1Ni1""",Results for exact spelling
713,"""Al1Co1Cr1Cu0.25Fe1Ni1Ti0.5""",Results for exact spelling
714,"""Al1Co1Cr1Cu0.5Fe1Ni1""",Results for exact spelling
715,"""Al1Co1Cr1Cu0.5Fe1Ni1Ti0.5""",Results for exact spelling
716,"""Al1Co1Cr1Cu0.5Ni1""",Results for exact spelling
717,"""Al1Co1Cr1Cu1Fe0.5Ni1""",Results for exact spelling
718,"""Al1Co1Cr1Cu1Fe1Mn1Ni1""",Results for exact spelling
719,"""Al1Co1Cr1Cu1Fe1Mn1Ni1Ti1V1""",Results for exact spelling
720,"""Al1Co1Cr1Cu1Fe1Mo0.2Ni1""",Results for exact spelling
721,"""Al1Co1Cr1Cu1Fe1Mo0.4Ni1""",Results for exact spelling
722,"""Al1Co1Cr1Cu1Fe1Mo0.6Ni1""",Results for exact spelling
723,"""Al1Co1Cr1Cu1Fe1Mo0.8Ni1""",Results for exact spelling
724,"""Al1Co1Cr1Cu1Fe1Mo1Ni1""",Results for exact spelling
725,"""Al1Co1Cr1Cu1Fe1Ni0.5""",Results for exact spelling
726,"""Al1Co1Cr1Cu1Fe1Ni1""",Results for exact spelling
727,"""Al1Co1Cr1Cu1Fe1Ni1Si1""",Results for exact spelling
728,"""Al1Co1Cr1Cu1Fe1Ni1Ti1""",Results for exact spelling
729,"""Al1Co1Cr1Cu1Fe1Ni1Ti1V1""",Results for exact spelling
730,"""Al1Co1Cr1Cu1Fe1Ni1V1""",Results for exact spelling
731,"""Al1Co1Cr1Cu1Ni1""",Results for exact spelling
732,"""Al1Co1Cr1Cu1Ni1Ti1Y0.5""",Results for exact spelling
733,"""Al1Co1Cr1Cu1Ni1Ti1Y0.8""",Results for exact spelling
734,"""Al1Co1Cr1Cu1Ni1Ti1Y1""",Results for exact spelling
735,"""Al1Co1Cr1Fe0.6Mo0.5Ni1""",Results for exact spelling
736,"""Al1Co1Cr1Fe1.5Mo0.5Ni1""",Results for exact spelling
737,"""Al1Co1Cr1Fe1Mo0.1Ni1""",Results for exact spelling
738,"""Al1Co1Cr1Fe1Mo0.2Ni1""",Results for exact spelling
739,"""Al1Co1Cr1Fe1Mo0.3Ni1""",Results for exact spelling
740,"""Al1Co1Cr1Fe1Mo0.4Ni1""",Results for exact spelling
741,"""Al1Co1Cr1Fe1Mo0.5Ni1""",Results for exact spelling
742,"""Al1Co1Cr1Fe1Nb0.1Ni1""",Results for exact spelling
743,"""Al1Co1Cr1Fe1Nb0.25Ni1""",Results for exact spelling
744,"""Al1Co1Cr1Fe1Nb0.5Ni1""",Results for exact spelling
745,"""Al1Co1Cr1Fe1Nb0.75Ni1""",Results for exact spelling
746,"""Al1Co1Cr1Fe1Ni1""",Results for exact spelling
747,"""Al1Co1Cr1Fe1Ni1Si0.2""",Results for exact spelling
748,"""Al1Co1Cr1Fe1Ni1Si0.4""",Results for exact spelling
749,"""Al1Co1Cr1Fe1Ni1Si0.6""",Results for exact spelling
750,"""Al1Co1Cr1Fe1Ni1Si0.8""",Results for exact spelling
751,"""Al1Co1Cr1Fe1Ni1Si1""",Results for exact spelling
752,"""Al1Co1Cr1Fe1Ni1Ti0.5""",Results for exact spelling
753,"""Al1Co1Cr1Fe1Ni1Ti1""",Results for exact spelling
754,"""Al1Co1Cr1Fe1Ni1Ti1.5""",Results for exact spelling
755,"""Al1Co1Cr1Fe2Mo0.5Ni1""",Results for exact spelling
756,"""Al1Co1Cr2Fe1Mo0.5Ni1""",Results for exact spelling
757,"""Al1Co1Cu1Fe1Ni1""",Results for exact spelling
758,"""Al1Co1Cu1Fe1Ni1Ti1""",Results for exact spelling
759,"""Al1Co1Cu1Ni1""",Results for exact spelling
760,"""Al1Co1Cu1Ni1Ti1Zn1""",Results for exact spelling
761,"""Al1Co1Fe1Mn1Ni1""",Results for exact spelling
762,"""Al1Co1Fe1Mo0.5Ni1""",Results for exact spelling
763,"""Al1Co2Cr1Fe1Mo0.5Ni1""",Results for exact spelling
764,"""Al1Co2Cr1Fe1Ni1Ti0.5""",Results for exact spelling
765,"""Al1Co3Cr1Fe1Ni1Ti0.5""",Results for exact spelling
766,"""Al1Cr0.5Cu1Fe1Ni1Ti1""",Results for exact spelling
767,"""Al1Cr1.5Cu1Fe1Ni1Ti1""",Results for exact spelling
768,"""Al1Cr1.5Nb1Ti1V1""",Results for exact spelling
769,"""Al1Cr1Cu1Fe1Mn1Ni1""",Results for exact spelling
770,"""Al1Cr1Cu1Fe1Ni1Ti1""",Results for exact spelling
771,"""Al1Cr1Cu1Fe1Ni2""",Results for exact spelling
772,"""Al1Cr1Fe1Mn1Ti0.25""",Results for exact spelling
773,"""Al1Cr1Mo1Nb1Ti1""",Results for exact spelling
774,"""Al1Cr1Mo1Si1Ti1""",Results for exact spelling
775,"""Al1Cr1Nb1Ti1V1""",Results for exact spelling
776,"""Al1Cr2Cu1Fe1Ni1Ti1""",Results for exact spelling
777,"""Al1Cr3Cu1Fe1Ni1Ti1""",Results for exact spelling
778,"""Al1Cu0.2Li0.5Mg1Zn0.5""",Results for exact spelling
779,"""Al1Cu0.5Li0.5Mg1Sn0.2""",Results for exact spelling
780,"""Al1Cu1Ni1""",Results for exact spelling
781,"""Al1Fe1Mg1Ti1Zn1""",Results for exact spelling
782,"""Al1Li0.5Mg1Sn0.2Zn0.5""",Results for exact spelling
783,"""Al1Li1Mg1Sn1Zn1""",Results for exact spelling
784,"""Al1Mo0.5Nb1Ta0.5Ti1Zr1""",Results for exact spelling
785,"""Al1Nb1Ti1V1Zr1""",Results for exact spelling
786,"""Al1Ti1V1Y1Zr1""",Results for exact spelling
787,"""Al2.3Co1Cr1Cu1Fe1Ni1""",Results for exact spelling
788,"""Al2.5Co1Cr1Cu1Fe1Ni1""",Results for exact spelling
789,"""Al2.5Co1Cr1Fe1Ni1""",Results for exact spelling
790,"""Al2.8Co1Cr1Cu1Fe1Ni1""",Results for exact spelling
791,"""Al20Co10Cr10Cu10Fe10Mn10Ni10Ti10V10""",Results for exact spelling
792,"""Al20Li20Mg10Sc20Ti30""",Results for exact spelling
793,"""Al2Co1Cr1Cu1Fe1Ni1""",Results for exact spelling
794,"""Al2Co1Cr1Fe1Ni1""",Results for exact spelling
795,"""Al2Co1Cr1Fe1Ni1Ti1""",Results for exact spelling
796,"""Al2Cr1Cu1Fe1Ni2""",Results for exact spelling
797,"""Al2Cr1Fe1Mn1Ti0.25""",Results for exact spelling
798,"""Al2Cr1Fe1Mn1Ti1""",Results for exact spelling
799,"""Al3Co1Cr1Cu1Fe1Ni1""",Results for exact spelling
800,"""Al3Co1Cr1Fe1Ni1""",Results for exact spelling
801,"""Al3Cr1Cu1Fe1Ni2""",Results for exact spelling
802,"""Al3Cr1Fe1Mn1Ti025""",Results for exact spelling
803,"""Al40Co7.5Cr7.5Cu7.5Fe7.5Mn7.5Ni7.5Ti7.5V7.5""",Empty showing fixed spelling results
804,"""Al4Cr1Fe1Mn1Ti0.25""",Results for exact spelling
805,"""Al80Cu5Li5Mg5Zn5""",Results for exact spelling
806,"""Al80Li5Mg5Sn5Zn5""",Results for exact spelling
807,"""AlBa""",Results for exact spelling
808,"""AlBe""",Results for exact spelling
809,"""AlBi""",Results for exact spelling
810,"""AlCa""",Results for exact spelling
811,"""AlCd""",Results for exact spelling
812,"""AlCr""",Results for exact spelling
813,"""AlGa""",Results for exact spelling
